location,date,vaccine,total_vaccinations
Croatia,13-08-2021,Moderna,315153
Croatia,13-08-2021,Oxford/AstraZeneca,557207
Croatia,13-08-2021,Pfizer/BioNTech,2302433
Croatia,20-08-2021,Johnson&Johnson,66455
Croatia,20-08-2021,Moderna,317770
Croatia,20-08-2021,Oxford/AstraZeneca,558151
Croatia,20-08-2021,Pfizer/BioNTech,2336095
Croatia,27-08-2021,Johnson&Johnson,71561
Croatia,27-08-2021,Moderna,320834
Croatia,27-08-2021,Oxford/AstraZeneca,559797
Croatia,27-08-2021,Pfizer/BioNTech,2369701
Croatia,03-09-2021,Johnson&Johnson,77177
Croatia,03-09-2021,Moderna,322685
Croatia,03-09-2021,Oxford/AstraZeneca,560590
Croatia,03-09-2021,Pfizer/BioNTech,2397833
Croatia,10-09-2021,Johnson&Johnson,81512
Croatia,10-09-2021,Moderna,324888
Croatia,10-09-2021,Oxford/AstraZeneca,561289
Croatia,10-09-2021,Pfizer/BioNTech,2422356
Croatia,17-09-2021,Johnson&Johnson,87906
Croatia,17-09-2021,Moderna,327042
Croatia,17-09-2021,Oxford/AstraZeneca,562132
Croatia,17-09-2021,Pfizer/BioNTech,2449123
Croatia,24-09-2021,Johnson&Johnson,94433
Croatia,24-09-2021,Moderna,329728
Croatia,24-09-2021,Oxford/AstraZeneca,562878
Croatia,24-09-2021,Pfizer/BioNTech,2476610
Croatia,01-10-2021,Johnson&Johnson,100520
Croatia,01-10-2021,Moderna,331677
Croatia,01-10-2021,Oxford/AstraZeneca,563518
Croatia,01-10-2021,Pfizer/BioNTech,2505088
Croatia,08-10-2021,Johnson&Johnson,106402
Croatia,08-10-2021,Moderna,334082
Croatia,08-10-2021,Oxford/AstraZeneca,564158
Croatia,08-10-2021,Pfizer/BioNTech,2531722
Croatia,15-10-2021,Johnson&Johnson,110337
Croatia,15-10-2021,Moderna,335459
Croatia,15-10-2021,Oxford/AstraZeneca,564667
Croatia,15-10-2021,Pfizer/BioNTech,2556558
Croatia,22-10-2021,Johnson&Johnson,113885
Croatia,22-10-2021,Moderna,337710
Croatia,22-10-2021,Oxford/AstraZeneca,565046
Croatia,22-10-2021,Pfizer/BioNTech,2587216
Croatia,29-10-2021,Johnson&Johnson,119619
Croatia,29-10-2021,Moderna,340925
Croatia,29-10-2021,Oxford/AstraZeneca,565505
Croatia,29-10-2021,Pfizer/BioNTech,2636449
Croatia,05-11-2021,Johnson&Johnson,127389
Croatia,05-11-2021,Moderna,347993
Croatia,05-11-2021,Oxford/AstraZeneca,565886
Croatia,05-11-2021,Pfizer/BioNTech,2700338
Croatia,12-11-2021,Johnson&Johnson,145963
Croatia,12-11-2021,Moderna,360400
Croatia,12-11-2021,Oxford/AstraZeneca,566380
Croatia,12-11-2021,Pfizer/BioNTech,2829875
Croatia,19-11-2021,Johnson&Johnson,164272
Croatia,19-11-2021,Moderna,373020
Croatia,19-11-2021,Oxford/AstraZeneca,566718
Croatia,19-11-2021,Pfizer/BioNTech,2929044
Croatia,26-11-2021,Johnson&Johnson,175858
Croatia,26-11-2021,Moderna,388555
Croatia,26-11-2021,Oxford/AstraZeneca,566998
Croatia,26-11-2021,Pfizer/BioNTech,3021262
Croatia,03-12-2021,Johnson&Johnson,181168
Croatia,03-12-2021,Moderna,403196
Croatia,03-12-2021,Oxford/AstraZeneca,567205
Croatia,03-12-2021,Pfizer/BioNTech,3127809
Croatia,10-12-2021,Johnson&Johnson,184496
Croatia,10-12-2021,Moderna,416914
Croatia,10-12-2021,Oxford/AstraZeneca,567346
Croatia,10-12-2021,Pfizer/BioNTech,3244903
Croatia,17-12-2021,Johnson&Johnson,187118
Croatia,17-12-2021,Moderna,434238
Croatia,17-12-2021,Oxford/AstraZeneca,567456
Croatia,17-12-2021,Pfizer/BioNTech,3384137
Croatia,24-12-2021,Johnson&Johnson,188607
Croatia,24-12-2021,Moderna,445335
Croatia,24-12-2021,Oxford/AstraZeneca,567526
Croatia,24-12-2021,Pfizer/BioNTech,3460781
Croatia,31-12-2021,Johnson&Johnson,190025
Croatia,31-12-2021,Moderna,456802
Croatia,31-12-2021,Oxford/AstraZeneca,567607
Croatia,31-12-2021,Pfizer/BioNTech,3528198
Croatia,07-01-2022,Johnson&Johnson,191697
Croatia,07-01-2022,Moderna,472565
Croatia,07-01-2022,Oxford/AstraZeneca,567669
Croatia,07-01-2022,Pfizer/BioNTech,3611704
Croatia,14-01-2022,Johnson&Johnson,193831
Croatia,14-01-2022,Moderna,487025
Croatia,14-01-2022,Oxford/AstraZeneca,567736
Croatia,14-01-2022,Pfizer/BioNTech,3720133
Croatia,21-01-2022,Johnson&Johnson,195563
Croatia,21-01-2022,Moderna,494766
Croatia,21-01-2022,Oxford/AstraZeneca,567784
Croatia,21-01-2022,Pfizer/BioNTech,3788378
Croatia,28-01-2022,Johnson&Johnson,196846
Croatia,28-01-2022,Moderna,499054
Croatia,28-01-2022,Oxford/AstraZeneca,567830
Croatia,28-01-2022,Pfizer/BioNTech,3827956
Croatia,04-02-2022,Johnson&Johnson,197862
Croatia,04-02-2022,Moderna,502045
Croatia,04-02-2022,Oxford/AstraZeneca,567857
Croatia,04-02-2022,Pfizer/BioNTech,3856234
Croatia,11-02-2022,Johnson&Johnson,198752
Croatia,11-02-2022,Moderna,504283
Croatia,11-02-2022,Oxford/AstraZeneca,567875
Croatia,11-02-2022,Pfizer/BioNTech,3877401
Croatia,18-02-2022,Johnson&Johnson,199637
Croatia,18-02-2022,Moderna,505952
Croatia,18-02-2022,Oxford/AstraZeneca,567887
Croatia,18-02-2022,Pfizer/BioNTech,3893811
Croatia,25-02-2022,Johnson&Johnson,200295
Croatia,25-02-2022,Moderna,506995
Croatia,25-02-2022,Oxford/AstraZeneca,567890
Croatia,25-02-2022,Pfizer/BioNTech,3904077
Croatia,04-03-2022,Johnson&Johnson,200634
Croatia,04-03-2022,Moderna,507677
Croatia,04-03-2022,Oxford/AstraZeneca,567894
Croatia,04-03-2022,Pfizer/BioNTech,3910234
Croatia,11-03-2022,Johnson&Johnson,200893
Croatia,11-03-2022,Moderna,508197
Croatia,11-03-2022,Novavax,52
Croatia,11-03-2022,Oxford/AstraZeneca,567898
Croatia,11-03-2022,Pfizer/BioNTech,3915750
Croatia,18-03-2022,Johnson&Johnson,201076
Croatia,18-03-2022,Moderna,508705
Croatia,18-03-2022,Novavax,207
Croatia,18-03-2022,Oxford/AstraZeneca,567900
Croatia,18-03-2022,Pfizer/BioNTech,3921058
Croatia,25-03-2022,Johnson&Johnson,201126
Croatia,25-03-2022,Moderna,508787
Croatia,25-03-2022,Novavax,220
Croatia,25-03-2022,Pfizer/BioNTech,3921503
Cyprus,01-01-2021,Pfizer/BioNTech,369
Cyprus,08-01-2021,Pfizer/BioNTech,3010
Cyprus,15-01-2021,Moderna,0
Cyprus,15-01-2021,Pfizer/BioNTech,7757
Cyprus,22-01-2021,Moderna,210
Cyprus,22-01-2021,Pfizer/BioNTech,14805
Cyprus,29-01-2021,Moderna,420
Cyprus,29-01-2021,Pfizer/BioNTech,21876
Cyprus,05-02-2021,Pfizer/BioNTech,29644
Cyprus,12-02-2021,Moderna,421
Cyprus,12-02-2021,Oxford/AstraZeneca,584
Cyprus,12-02-2021,Pfizer/BioNTech,40308
Cyprus,19-02-2021,Moderna,741
Cyprus,19-02-2021,Oxford/AstraZeneca,6126
Cyprus,19-02-2021,Pfizer/BioNTech,48576
Cyprus,26-02-2021,Moderna,951
Cyprus,26-02-2021,Oxford/AstraZeneca,18136
Cyprus,26-02-2021,Pfizer/BioNTech,56304
Cyprus,05-03-2021,Moderna,1301
Cyprus,05-03-2021,Oxford/AstraZeneca,28650
Cyprus,05-03-2021,Pfizer/BioNTech,66251
Cyprus,12-03-2021,Moderna,4195
Cyprus,12-03-2021,Oxford/AstraZeneca,40827
Cyprus,12-03-2021,Pfizer/BioNTech,75784
Cyprus,19-03-2021,Moderna,4304
Cyprus,19-03-2021,Oxford/AstraZeneca,41719
Cyprus,19-03-2021,Pfizer/BioNTech,82652
Cyprus,26-03-2021,Moderna,4304
Cyprus,26-03-2021,Oxford/AstraZeneca,48256
Cyprus,26-03-2021,Pfizer/BioNTech,92263
Cyprus,02-04-2021,Moderna,6547
Cyprus,02-04-2021,Oxford/AstraZeneca,52195
Cyprus,02-04-2021,Pfizer/BioNTech,99952
Cyprus,09-04-2021,Moderna,12456
Cyprus,09-04-2021,Oxford/AstraZeneca,60123
Cyprus,09-04-2021,Pfizer/BioNTech,109937
Cyprus,16-04-2021,Johnson&Johnson,0
Cyprus,16-04-2021,Moderna,13236
Cyprus,16-04-2021,Oxford/AstraZeneca,66995
Cyprus,16-04-2021,Pfizer/BioNTech,127519
Cyprus,23-04-2021,Oxford/AstraZeneca,77988
Cyprus,23-04-2021,Pfizer/BioNTech,147755
Cyprus,30-04-2021,Johnson&Johnson,1188
Cyprus,30-04-2021,Moderna,15635
Cyprus,30-04-2021,Oxford/AstraZeneca,84554
Cyprus,30-04-2021,Pfizer/BioNTech,189977
Cyprus,07-05-2021,Johnson&Johnson,2249
Cyprus,07-05-2021,Moderna,21442
Cyprus,07-05-2021,Oxford/AstraZeneca,95843
Cyprus,07-05-2021,Pfizer/BioNTech,235705
Cyprus,14-05-2021,Johnson&Johnson,5662
Cyprus,14-05-2021,Moderna,28322
Cyprus,14-05-2021,Oxford/AstraZeneca,121922
Cyprus,14-05-2021,Pfizer/BioNTech,277884
Cyprus,21-05-2021,Moderna,37412
Cyprus,21-05-2021,Oxford/AstraZeneca,146980
Cyprus,21-05-2021,Pfizer/BioNTech,326113
Cyprus,28-05-2021,Johnson&Johnson,5662
Cyprus,28-05-2021,Moderna,44461
Cyprus,28-05-2021,Oxford/AstraZeneca,164905
Cyprus,28-05-2021,Pfizer/BioNTech,372311
Cyprus,04-06-2021,Moderna,48348
Cyprus,04-06-2021,Oxford/AstraZeneca,175900
Cyprus,04-06-2021,Pfizer/BioNTech,409964
Cyprus,11-06-2021,Johnson&Johnson,6062
Cyprus,11-06-2021,Moderna,54602
Cyprus,11-06-2021,Oxford/AstraZeneca,187096
Cyprus,11-06-2021,Pfizer/BioNTech,445375
Cyprus,18-06-2021,Johnson&Johnson,12893
Cyprus,18-06-2021,Moderna,63102
Cyprus,18-06-2021,Oxford/AstraZeneca,197068
Cyprus,18-06-2021,Pfizer/BioNTech,478553
Cyprus,25-06-2021,Johnson&Johnson,14120
Cyprus,25-06-2021,Moderna,70093
Cyprus,25-06-2021,Oxford/AstraZeneca,204489
Cyprus,25-06-2021,Pfizer/BioNTech,499725
Cyprus,02-07-2021,Johnson&Johnson,14538
Cyprus,02-07-2021,Moderna,72330
Cyprus,02-07-2021,Oxford/AstraZeneca,218282
Cyprus,02-07-2021,Pfizer/BioNTech,529329
Cyprus,09-07-2021,Johnson&Johnson,14983
Cyprus,09-07-2021,Moderna,73098
Cyprus,09-07-2021,Oxford/AstraZeneca,237295
Cyprus,09-07-2021,Pfizer/BioNTech,559120
Cyprus,16-07-2021,Johnson&Johnson,16069
Cyprus,16-07-2021,Moderna,74634
Cyprus,16-07-2021,Oxford/AstraZeneca,245037
Cyprus,16-07-2021,Pfizer/BioNTech,584652
Cyprus,23-07-2021,Johnson&Johnson,17238
Cyprus,23-07-2021,Moderna,75705
Cyprus,23-07-2021,Oxford/AstraZeneca,248027
Cyprus,23-07-2021,Pfizer/BioNTech,607812
Cyprus,30-07-2021,Johnson&Johnson,17941
Cyprus,30-07-2021,Moderna,77108
Cyprus,30-07-2021,Oxford/AstraZeneca,250656
Cyprus,30-07-2021,Pfizer/BioNTech,628702
Cyprus,06-08-2021,Johnson&Johnson,18413
Cyprus,06-08-2021,Moderna,77977
Cyprus,06-08-2021,Oxford/AstraZeneca,251491
Cyprus,06-08-2021,Pfizer/BioNTech,657116
Cyprus,13-08-2021,Johnson&Johnson,18707
Cyprus,13-08-2021,Moderna,79747
Cyprus,13-08-2021,Oxford/AstraZeneca,251776
Cyprus,13-08-2021,Pfizer/BioNTech,677605
Cyprus,20-08-2021,Johnson&Johnson,19289
Cyprus,20-08-2021,Moderna,80930
Cyprus,20-08-2021,Oxford/AstraZeneca,251996
Cyprus,20-08-2021,Pfizer/BioNTech,694714
Cyprus,27-08-2021,Johnson&Johnson,19609
Cyprus,27-08-2021,Moderna,81764
Cyprus,27-08-2021,Oxford/AstraZeneca,252190
Cyprus,27-08-2021,Pfizer/BioNTech,710520
Cyprus,03-09-2021,Johnson&Johnson,19899
Cyprus,03-09-2021,Moderna,82721
Cyprus,03-09-2021,Oxford/AstraZeneca,252412
Cyprus,03-09-2021,Pfizer/BioNTech,721382
Cyprus,10-09-2021,Johnson&Johnson,20125
Cyprus,10-09-2021,Moderna,83957
Cyprus,10-09-2021,Oxford/AstraZeneca,252639
Cyprus,10-09-2021,Pfizer/BioNTech,733066
Cyprus,17-09-2021,Johnson&Johnson,20396
Cyprus,17-09-2021,Moderna,84677
Cyprus,17-09-2021,Oxford/AstraZeneca,252796
Cyprus,17-09-2021,Pfizer/BioNTech,742959
Cyprus,24-09-2021,Johnson&Johnson,20497
Cyprus,24-09-2021,Moderna,85350
Cyprus,24-09-2021,Oxford/AstraZeneca,253940
Cyprus,24-09-2021,Pfizer/BioNTech,753267
Cyprus,01-10-2021,Johnson&Johnson,20824
Cyprus,01-10-2021,Moderna,85988
Cyprus,01-10-2021,Oxford/AstraZeneca,254041
Cyprus,01-10-2021,Pfizer/BioNTech,764807
Cyprus,08-10-2021,Johnson&Johnson,20854
Cyprus,08-10-2021,Moderna,86772
Cyprus,08-10-2021,Oxford/AstraZeneca,254117
Cyprus,08-10-2021,Pfizer/BioNTech,779508
Cyprus,15-10-2021,Johnson&Johnson,20884
Cyprus,15-10-2021,Moderna,88109
Cyprus,15-10-2021,Oxford/AstraZeneca,254198
Cyprus,15-10-2021,Pfizer/BioNTech,792037
Cyprus,22-10-2021,Johnson&Johnson,20992
Cyprus,22-10-2021,Moderna,88935
Cyprus,22-10-2021,Oxford/AstraZeneca,254272
Cyprus,22-10-2021,Pfizer/BioNTech,801271
Cyprus,29-10-2021,Johnson&Johnson,21082
Cyprus,29-10-2021,Moderna,89426
Cyprus,29-10-2021,Oxford/AstraZeneca,254303
Cyprus,29-10-2021,Pfizer/BioNTech,807560
Cyprus,05-11-2021,Johnson&Johnson,21171
Cyprus,05-11-2021,Moderna,90203
Cyprus,05-11-2021,Oxford/AstraZeneca,254331
Cyprus,05-11-2021,Pfizer/BioNTech,816224
Cyprus,12-11-2021,Johnson&Johnson,21316
Cyprus,12-11-2021,Moderna,91843
Cyprus,12-11-2021,Oxford/AstraZeneca,254353
Cyprus,12-11-2021,Pfizer/BioNTech,828894
Cyprus,19-11-2021,Johnson&Johnson,21521
Cyprus,19-11-2021,Moderna,93787
Cyprus,19-11-2021,Oxford/AstraZeneca,254383
Cyprus,19-11-2021,Pfizer/BioNTech,848410
Cyprus,26-11-2021,Johnson&Johnson,21906
Cyprus,26-11-2021,Moderna,96114
Cyprus,26-11-2021,Oxford/AstraZeneca,254415
Cyprus,26-11-2021,Pfizer/BioNTech,887438
Cyprus,03-12-2021,Johnson&Johnson,22653
Cyprus,03-12-2021,Moderna,99089
Cyprus,03-12-2021,Oxford/AstraZeneca,254428
Cyprus,03-12-2021,Pfizer/BioNTech,932500
Cyprus,10-12-2021,Johnson&Johnson,23560
Cyprus,10-12-2021,Moderna,102363
Cyprus,10-12-2021,Oxford/AstraZeneca,254441
Cyprus,10-12-2021,Pfizer/BioNTech,976744
Cyprus,17-12-2021,Johnson&Johnson,24656
Cyprus,17-12-2021,Moderna,108104
Cyprus,17-12-2021,Oxford/AstraZeneca,254478
Cyprus,17-12-2021,Pfizer/BioNTech,1028442
Cyprus,24-12-2021,Johnson&Johnson,25739
Cyprus,24-12-2021,Moderna,118489
Cyprus,24-12-2021,Oxford/AstraZeneca,254487
Cyprus,24-12-2021,Pfizer/BioNTech,1054424
Cyprus,31-12-2021,Johnson&Johnson,26428
Cyprus,31-12-2021,Moderna,135203
Cyprus,31-12-2021,Oxford/AstraZeneca,254490
Cyprus,31-12-2021,Pfizer/BioNTech,1072696
Cyprus,07-01-2022,Johnson&Johnson,26586
Cyprus,07-01-2022,Moderna,152105
Cyprus,07-01-2022,Oxford/AstraZeneca,254494
Cyprus,07-01-2022,Pfizer/BioNTech,1091964
Cyprus,14-01-2022,Johnson&Johnson,27315
Cyprus,14-01-2022,Moderna,165449
Cyprus,14-01-2022,Oxford/AstraZeneca,254507
Cyprus,14-01-2022,Pfizer/BioNTech,1114694
Cyprus,21-01-2022,Johnson&Johnson,27995
Cyprus,21-01-2022,Moderna,171782
Cyprus,21-01-2022,Oxford/AstraZeneca,254513
Cyprus,21-01-2022,Pfizer/BioNTech,1133659
Cyprus,28-01-2022,Johnson&Johnson,28633
Cyprus,28-01-2022,Moderna,175679
Cyprus,28-01-2022,Oxford/AstraZeneca,254519
Cyprus,28-01-2022,Pfizer/BioNTech,1146404
Cyprus,04-02-2022,Johnson&Johnson,29105
Cyprus,04-02-2022,Moderna,179175
Cyprus,04-02-2022,Oxford/AstraZeneca,254519
Cyprus,04-02-2022,Pfizer/BioNTech,1159545
Cyprus,11-02-2022,Johnson&Johnson,29166
Cyprus,11-02-2022,Moderna,180006
Cyprus,11-02-2022,Oxford/AstraZeneca,254521
Cyprus,11-02-2022,Pfizer/BioNTech,1164347
Cyprus,18-02-2022,Johnson&Johnson,29437
Cyprus,18-02-2022,Moderna,181855
Cyprus,18-02-2022,Oxford/AstraZeneca,254524
Cyprus,18-02-2022,Pfizer/BioNTech,1171141
Cyprus,25-02-2022,Johnson&Johnson,29691
Cyprus,25-02-2022,Moderna,183190
Cyprus,25-02-2022,Oxford/AstraZeneca,254524
Cyprus,25-02-2022,Pfizer/BioNTech,1176311
Cyprus,04-03-2022,Johnson&Johnson,29837
Cyprus,04-03-2022,Moderna,184545
Cyprus,04-03-2022,Oxford/AstraZeneca,254524
Cyprus,04-03-2022,Pfizer/BioNTech,1181220
Cyprus,11-03-2022,Johnson&Johnson,29921
Cyprus,11-03-2022,Moderna,185453
Cyprus,11-03-2022,Novavax,14
Cyprus,11-03-2022,Oxford/AstraZeneca,254527
Cyprus,11-03-2022,Pfizer/BioNTech,1185063
Cyprus,18-03-2022,Johnson&Johnson,30003
Cyprus,18-03-2022,Moderna,186468
Cyprus,18-03-2022,Novavax,45
Cyprus,18-03-2022,Oxford/AstraZeneca,254527
Cyprus,18-03-2022,Pfizer/BioNTech,1188656
Czechia,27-12-2020,Pfizer/BioNTech,1287
Czechia,28-12-2020,Pfizer/BioNTech,3590
Czechia,29-12-2020,Pfizer/BioNTech,7063
Czechia,30-12-2020,Pfizer/BioNTech,10580
Czechia,31-12-2020,Pfizer/BioNTech,11891
Czechia,01-01-2021,Moderna,1
Czechia,01-01-2021,Pfizer/BioNTech,12159
Czechia,02-01-2021,Moderna,3
Czechia,02-01-2021,Pfizer/BioNTech,13441
Czechia,03-01-2021,Moderna,4
Czechia,03-01-2021,Pfizer/BioNTech,14367
Czechia,04-01-2021,Moderna,12
Czechia,04-01-2021,Pfizer/BioNTech,17970
Czechia,05-01-2021,Moderna,15
Czechia,05-01-2021,Pfizer/BioNTech,22494
Czechia,06-01-2021,Moderna,18
Czechia,06-01-2021,Pfizer/BioNTech,28339
Czechia,07-01-2021,Moderna,21
Czechia,07-01-2021,Pfizer/BioNTech,36335
Czechia,08-01-2021,Moderna,22
Czechia,08-01-2021,Pfizer/BioNTech,46387
Czechia,09-01-2021,Moderna,24
Czechia,09-01-2021,Pfizer/BioNTech,48415
Czechia,10-01-2021,Pfizer/BioNTech,50188
Czechia,11-01-2021,Moderna,25
Czechia,11-01-2021,Pfizer/BioNTech,60045
Czechia,12-01-2021,Moderna,29
Czechia,12-01-2021,Pfizer/BioNTech,73499
Czechia,13-01-2021,Moderna,31
Czechia,13-01-2021,Pfizer/BioNTech,87044
Czechia,14-01-2021,Moderna,1263
Czechia,14-01-2021,Pfizer/BioNTech,101069
Czechia,15-01-2021,Moderna,2032
Czechia,15-01-2021,Pfizer/BioNTech,114323
Czechia,16-01-2021,Moderna,2360
Czechia,16-01-2021,Pfizer/BioNTech,117403
Czechia,17-01-2021,Moderna,2457
Czechia,17-01-2021,Pfizer/BioNTech,120563
Czechia,18-01-2021,Moderna,2638
Czechia,18-01-2021,Pfizer/BioNTech,134703
Czechia,19-01-2021,Moderna,3419
Czechia,19-01-2021,Pfizer/BioNTech,149264
Czechia,20-01-2021,Moderna,5007
Czechia,20-01-2021,Pfizer/BioNTech,164039
Czechia,21-01-2021,Moderna,5975
Czechia,21-01-2021,Pfizer/BioNTech,180468
Czechia,22-01-2021,Moderna,6180
Czechia,22-01-2021,Pfizer/BioNTech,196201
Czechia,23-01-2021,Moderna,6222
Czechia,23-01-2021,Pfizer/BioNTech,200356
Czechia,24-01-2021,Moderna,6346
Czechia,24-01-2021,Pfizer/BioNTech,203359
Czechia,25-01-2021,Moderna,6547
Czechia,25-01-2021,Pfizer/BioNTech,215785
Czechia,26-01-2021,Moderna,6826
Czechia,26-01-2021,Pfizer/BioNTech,230045
Czechia,27-01-2021,Moderna,7133
Czechia,27-01-2021,Pfizer/BioNTech,243305
Czechia,28-01-2021,Moderna,7259
Czechia,28-01-2021,Pfizer/BioNTech,256418
Czechia,29-01-2021,Moderna,7414
Czechia,29-01-2021,Pfizer/BioNTech,270389
Czechia,30-01-2021,Moderna,7418
Czechia,30-01-2021,Pfizer/BioNTech,272214
Czechia,31-01-2021,Moderna,7423
Czechia,31-01-2021,Pfizer/BioNTech,274109
Czechia,01-02-2021,Moderna,7687
Czechia,01-02-2021,Pfizer/BioNTech,285796
Czechia,02-02-2021,Moderna,8019
Czechia,02-02-2021,Pfizer/BioNTech,299857
Czechia,03-02-2021,Moderna,8764
Czechia,03-02-2021,Pfizer/BioNTech,314561
Czechia,04-02-2021,Moderna,9910
Czechia,04-02-2021,Pfizer/BioNTech,331316
Czechia,05-02-2021,Moderna,11107
Czechia,05-02-2021,Pfizer/BioNTech,346269
Czechia,06-02-2021,Moderna,11372
Czechia,06-02-2021,Oxford/AstraZeneca,7
Czechia,06-02-2021,Pfizer/BioNTech,349221
Czechia,07-02-2021,Moderna,11637
Czechia,07-02-2021,Oxford/AstraZeneca,8
Czechia,07-02-2021,Pfizer/BioNTech,352307
Czechia,08-02-2021,Moderna,12555
Czechia,08-02-2021,Oxford/AstraZeneca,15
Czechia,08-02-2021,Pfizer/BioNTech,366907
Czechia,09-02-2021,Moderna,14221
Czechia,09-02-2021,Oxford/AstraZeneca,17
Czechia,09-02-2021,Pfizer/BioNTech,382263
Czechia,10-02-2021,Moderna,15984
Czechia,10-02-2021,Oxford/AstraZeneca,22
Czechia,10-02-2021,Pfizer/BioNTech,399275
Czechia,11-02-2021,Moderna,19378
Czechia,11-02-2021,Oxford/AstraZeneca,257
Czechia,11-02-2021,Pfizer/BioNTech,418209
Czechia,12-02-2021,Moderna,21685
Czechia,12-02-2021,Oxford/AstraZeneca,669
Czechia,12-02-2021,Pfizer/BioNTech,437069
Czechia,13-02-2021,Moderna,22188
Czechia,13-02-2021,Oxford/AstraZeneca,1114
Czechia,13-02-2021,Pfizer/BioNTech,440727
Czechia,14-02-2021,Moderna,22439
Czechia,14-02-2021,Oxford/AstraZeneca,1319
Czechia,14-02-2021,Pfizer/BioNTech,442663
Czechia,15-02-2021,Moderna,23861
Czechia,15-02-2021,Oxford/AstraZeneca,2072
Czechia,15-02-2021,Pfizer/BioNTech,456259
Czechia,16-02-2021,Moderna,26345
Czechia,16-02-2021,Oxford/AstraZeneca,3252
Czechia,16-02-2021,Pfizer/BioNTech,470398
Czechia,17-02-2021,Moderna,29099
Czechia,17-02-2021,Oxford/AstraZeneca,5310
Czechia,17-02-2021,Pfizer/BioNTech,483600
Czechia,18-02-2021,Moderna,31460
Czechia,18-02-2021,Oxford/AstraZeneca,7328
Czechia,18-02-2021,Pfizer/BioNTech,499638
Czechia,19-02-2021,Moderna,32871
Czechia,19-02-2021,Oxford/AstraZeneca,9072
Czechia,19-02-2021,Pfizer/BioNTech,515724
Czechia,20-02-2021,Moderna,32880
Czechia,20-02-2021,Oxford/AstraZeneca,9758
Czechia,20-02-2021,Pfizer/BioNTech,518225
Czechia,21-02-2021,Moderna,32982
Czechia,21-02-2021,Oxford/AstraZeneca,10026
Czechia,21-02-2021,Pfizer/BioNTech,520018
Czechia,22-02-2021,Moderna,33985
Czechia,22-02-2021,Oxford/AstraZeneca,11642
Czechia,22-02-2021,Pfizer/BioNTech,533565
Czechia,23-02-2021,Moderna,34780
Czechia,23-02-2021,Oxford/AstraZeneca,14390
Czechia,23-02-2021,Pfizer/BioNTech,549978
Czechia,24-02-2021,Moderna,36124
Czechia,24-02-2021,Oxford/AstraZeneca,17331
Czechia,24-02-2021,Pfizer/BioNTech,565620
Czechia,25-02-2021,Moderna,37309
Czechia,25-02-2021,Oxford/AstraZeneca,21699
Czechia,25-02-2021,Pfizer/BioNTech,583603
Czechia,26-02-2021,Moderna,38166
Czechia,26-02-2021,Oxford/AstraZeneca,25061
Czechia,26-02-2021,Pfizer/BioNTech,600928
Czechia,27-02-2021,Moderna,38340
Czechia,27-02-2021,Oxford/AstraZeneca,25685
Czechia,27-02-2021,Pfizer/BioNTech,603699
Czechia,28-02-2021,Moderna,38537
Czechia,28-02-2021,Oxford/AstraZeneca,26165
Czechia,28-02-2021,Pfizer/BioNTech,605932
Czechia,01-03-2021,Moderna,40150
Czechia,01-03-2021,Oxford/AstraZeneca,30237
Czechia,01-03-2021,Pfizer/BioNTech,623298
Czechia,02-03-2021,Moderna,42037
Czechia,02-03-2021,Oxford/AstraZeneca,39641
Czechia,02-03-2021,Pfizer/BioNTech,642786
Czechia,03-03-2021,Moderna,45772
Czechia,03-03-2021,Oxford/AstraZeneca,49485
Czechia,03-03-2021,Pfizer/BioNTech,664677
Czechia,04-03-2021,Moderna,50577
Czechia,04-03-2021,Oxford/AstraZeneca,58888
Czechia,04-03-2021,Pfizer/BioNTech,688451
Czechia,05-03-2021,Johnson&Johnson,2
Czechia,05-03-2021,Moderna,54230
Czechia,05-03-2021,Oxford/AstraZeneca,67311
Czechia,05-03-2021,Pfizer/BioNTech,710645
Czechia,06-03-2021,Johnson&Johnson,9
Czechia,06-03-2021,Moderna,55640
Czechia,06-03-2021,Oxford/AstraZeneca,71828
Czechia,06-03-2021,Pfizer/BioNTech,717730
Czechia,07-03-2021,Johnson&Johnson,11
Czechia,07-03-2021,Moderna,57042
Czechia,07-03-2021,Oxford/AstraZeneca,76002
Czechia,07-03-2021,Pfizer/BioNTech,724542
Czechia,08-03-2021,Johnson&Johnson,14
Czechia,08-03-2021,Moderna,60153
Czechia,08-03-2021,Oxford/AstraZeneca,83944
Czechia,08-03-2021,Pfizer/BioNTech,748096
Czechia,09-03-2021,Johnson&Johnson,16
Czechia,09-03-2021,Moderna,65512
Czechia,09-03-2021,Oxford/AstraZeneca,95209
Czechia,09-03-2021,Pfizer/BioNTech,774226
Czechia,10-03-2021,Johnson&Johnson,19
Czechia,10-03-2021,Moderna,70579
Czechia,10-03-2021,Oxford/AstraZeneca,106169
Czechia,10-03-2021,Pfizer/BioNTech,806492
Czechia,11-03-2021,Johnson&Johnson,22
Czechia,11-03-2021,Moderna,74891
Czechia,11-03-2021,Oxford/AstraZeneca,118020
Czechia,11-03-2021,Pfizer/BioNTech,843557
Czechia,12-03-2021,Johnson&Johnson,24
Czechia,12-03-2021,Moderna,80358
Czechia,12-03-2021,Oxford/AstraZeneca,130309
Czechia,12-03-2021,Pfizer/BioNTech,873063
Czechia,13-03-2021,Johnson&Johnson,26
Czechia,13-03-2021,Moderna,81681
